abu dhabi gp 		/ yas marina Circtuit					/ 24.473300343969285	, 54.605554822492074 	/ Yas Central - Yas Leisure Dr - Yas Island - YS1 - Abu Dhabi - Émirats arabes unis
Austrian GP 		/ Red Bull Ring 						/ 47.22055000976225		, 14.76398728466041 	/ Red Bull Ring Str. 1, 8724 Spielberg, Autriche
Australian GP 		/ Albert Park 							/-37.8459473394887		, 144.97000756562295 	/ 12 Aughtie Dr, Albert Park VIC 3206, Australie
Azerbaidjan GP 		/ Baku City Circuit 					/ 40.37344184065317		, 49.85233019271641 	/ 93 Zarifa Aliyeva, Bakı, Azerbaïdjan
Bahrain GP 			/ Bahrain International Circuit 		/ 26.031940342870453	, 50.511007415096 		/ Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir، 1062, Bahreïn
brazilian gp 		/ autodrome jose carlos pace interlagos / -23.703740800688244	, -46.698547743891986 	/ Av. Sen. Teotônio Vilela, 261 - Jardim Malia I, São Paulo - SP, 04801-000, Brésil
Belgian GP 			/ SPA-Francorchamps 					/ 50.44434078564599		, 5.965770206984094 	/ Rte du Circuit 36, 4970 Stavelot
British GP 			/ Circuit Silverstone 					/ 52.067234056220705	, -1.021426502639318 	/ Silverstone Circuit, Towcester NN12 8TN, Royaume-Uni
Canadian GP 		/ Circuit Gilles Villeneuve 			/ 45.501161017686364	, -73.52303544843852 	/ Parc Jean-Drapeau, Montréal, QC H3C 6A1, Canada
Chinese GP 			/ Shangai International Circuit 		/ 31.339045941727885	, 121.22669606230885 	/ Chine, Shanghai, Jiading District, 伊宁路2000号 邮政编码: 201800
Dutch GP 			/ Circtuit ZandVoort 					/ 52.3869472284417		, 4.541785055102185 	/ Burgemeester van Alphenstraat 108, 2041 KP Zandvoort, Pays-Bas
Hungarian GP		/ Hungaroring 							/ 47.58013981001051		, 19.24676110663418 	/ Mogyoród, Hungaroring utca 10, 2146 Hongrie
Imola GP 			/ Autodrome Enzo E Dino Ferrari 		/ 44.34446112570338		, 11.717603595539753 	/ Piazza Ayrton Senna da Silva, 1, 40026 Imola BO, Italie
Italian GP 			/ Autodromo Nazionale Monza 			/ 45.61812045622453		, 9.283020454822683 	/ Viale di Vedano, 5, 20900 Monza MB, Italie
Japanese GP 		/ Suzuka Circtuit						/ 34.84453257808769		, 136.53813291018895 	/ 7992 Inoucho, Suzuka, Mie 510-0295, Japon
las vegas gp 		/ las vegas street circuit 				/ 36.10953183986981		, -115.16268998997404 	/ 260 E Harmon Ave, Las Vegas, NV 89119, États-Unis
Miami GP 			/ Miami International Autodrome 		/ 25.959278049647896	, -80.23723246713139 	/ Miami Gardens, FL 33056, États-Unis
Monaco GP 			/ Circuit de Monaco 					/ 43.73420720187029		, 7.421401660670494 	/ 11 Bd Albert 1er, 98000 Monaco
mexican gp 			/ autodrome hermanos rodriguez 			/ 19.405291038988793	, -99.09249248828215 	/ Viad. Río de la Piedad S/n, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, Mexique
qatar gp 			/ losail international circuit 			/ 25.489753721785643	, 51.45078996822303 	/ Al Wusail, North Relief Road, Doha, Qatar
Saudi Arabian GP 	/ Jeddah Street Circuit 				/ 21.630285216801553	, 39.103354616996555 	/ Ash Shati, Jeddah 23411, Arabie saoudite
Spanish GP			/ Circuit de Catalunya 					/ 41.569606858742056	, 2.2579570960441813 	/ Mas La Moreneta s/n, 08160 Montmeló, Barcelona, Espagne
Singapore GP 		/ Marina bay street circuit 			/ 1.2919441276264099	, 103.86286928383198	/ Marina Bay, Singapour
united states gp 	/ circuit of the americas 				/ 30.133847814381486	, -97.6403602871253 	/ 9201 Circuit of the Americas Blvd, Del Valle, TX 78617, États-Unis
